annotation	Lydia Bremer-McCollum, Caroline T. Schroeder
author	unknown
collection	Manuscrits coptes 
Coptic_edition	<a href="https://babel.hathitrust.org/cgi/pt?id=coo.31924028715617&seq=10">Lacau 1904</a>
corpus	lament.mary
country	Egypt
document_cts_urn	urn:cts:copticLit:misc.lament_mary.lacau_ed:55-58
idno	129/17 f. 37
language	Sahidic Coptic
license	<a href="https://creativecommons.org/licenses/by/4.0/">CC-BY 4.0</a>
msItem_title 	Lament of Mary
msName	CM.5139
next	urn:cts:copticLit:misc.lament_mary.lacau_ed:63-67
note	Coptic follows Lacau's transcription. Chapter divisions follow paragraph breaks in Mingana's translation of the full literary work. No CMCL manuscript siglum exists for this codex, so the MsName is the CLM number in PATHS. Coptic Scriptorium thanks Tony Burke and Alin Suciu for help with identifying this manuscript.
objectType	codex
ocr	automatic
order	1
origPlace	White Monastery
pages_from	53
pages_to	54
parsing	automatic
paths_authors	none
paths_manuscripts	<a href="http://paths.uniroma1.it/atlas/manuscripts/5139">5139</a>
paths_works	<a href="http://paths.uniroma1.it/atlas/works/1183">1183</a>
placeName	Atripe
project	Coptic SCRIPTORIUM
redundant	no
repository	Paris Bibliothèque Nationale
segmentation	automatic
source	<a href="https://babel.hathitrust.org/cgi/pt?id=coo.31924028715617&seq=10">Lacau 1904</a>
source_info	OCR of Lacau pdf on Hathitrust using OCR4all
tagging	automatic
title	Lament of Mary CM.5139 part 1
translation	none
Trismegistos	none
version_date	2024-10-31
version_n	6.0.0
witness	Parallels have not been published by Coptic Scriptorium
