annotation	Lydia Bremer-McCollum, Caroline T. Schroeder
attributed_author	Anonymous
author	Anonymous
collection	Hamuli Coptic
Coptic_edition	<a href="https://archive.org/details/lemartyredesaint00sobhuoft/page/n9/mode/2up">Sobhy 1919</a>
corpus	helias
country	Egypt
document_cts_urn	urn:cts:copticLit:martyrdoms.helias.sobhy_ed:32-49
idno	Hamuli.Ms. 2703 ff. 26v-34
language	Sahidic Coptic
license	CC-BY 4.0
msItem_title 	Martyrdom of Helias
msName	MICH.BT
note	Chapter division follows paragraphs in Sobhy's edition.
objectType	codex
ocr	automatic
order	03
origDate	between 801 and 925
origDate_notAfter	801
OrigDate_notBefore	925
origDate_precision	medium
origPlace	Hamuli
pages_from	52
pages_to	67
parsing	automatic
paths_authors	none
paths_manuscripts	<a href="http://paths.uniroma1.it/atlas/manuscripts/245">245</a>
paths_works	<a href="http://paths.uniroma1.it/atlas/works/274">274</a>
placeName	Hamuli
previous	urn:cts:copticLit:martyrdoms.helias.sobhy_ed:21-32
project	CopticSCRIPTORIUM
redundant	no
repository	Coptic Museum
segmentation	automatic
source	<a href="https://archive.org/details/lemartyredesaint00sobhuoft/page/n9/mode/2up">Sobhy 1919</a>
source_info	OCR of Sobhy 1919 pdf on archive.org using OCR4all
tagging	automatic
title	Martyrdom of Helias (Sobhy ed.) Part 3
translation	none
Trismegistos	TM114340
version_date	2024-10-31
version_n	6.0.0
witness	none
